Classification,x,density
BFB,1.0,0.57263014
BFB,1.090452,0.57301636
BFB,1.180905,0.55687762
BFB,1.271357,0.52813785
BFB,1.361809,0.49190491
BFB,1.452261,0.45339536
BFB,1.542714,0.4169105
BFB,1.633166,0.38511801
BFB,1.723618,0.35879631
BFB,1.81407,0.33706171
BFB,1.904523,0.3179647
BFB,1.994975,0.29925405
BFB,2.085427,0.2790852
BFB,2.175879,0.25649459
BFB,2.266332,0.23155123
BFB,2.356784,0.20519908
BFB,2.447236,0.17888743
BFB,2.537688,0.15412834
BFB,2.628141,0.13211576
BFB,2.718593,0.11349842
BFB,2.809045,0.09833787
BFB,2.899497,0.08622478
BFB,2.98995,0.07648811
BFB,3.080402,0.06841919
BFB,3.170854,0.06144597
BFB,3.261307,0.05522047
BFB,3.351759,0.04961589
BFB,3.442211,0.04465653
BFB,3.532663,0.04041778
BFB,3.623116,0.03693472
BFB,3.713568,0.03414648
BFB,3.80402,0.03188742
BFB,3.894472,0.02991964
BFB,3.984925,0.02798978
BFB,4.075377,0.02588861
BFB,4.165829,0.02349491
BFB,4.256281,0.02079295
BFB,4.346734,0.0178624
BFB,4.437186,0.01484758
BFB,4.527638,0.01191756
BFB,4.61809,0.00922857
BFB,4.708543,0.00689746
BFB,4.798995,0.00498959
BFB,4.889447,0.00352022
BFB,4.979899,0.00246517
BFB,5.070352,0.00177538
BFB,5.160804,0.00139062
BFB,5.251256,0.00124947
BFB,5.341709,0.00129456
BFB,5.432161,0.00147379
BFB,5.522613,0.00173923
BFB,5.613065,0.00204557
BFB,5.703518,0.0023496
BFB,5.79397,0.0026114
BFB,5.884422,0.00279716
BFB,5.974874,0.00288266
BFB,6.065327,0.00285626
BFB,6.155779,0.0027202
BFB,6.246231,0.00248973
BFB,6.336683,0.00218992
BFB,6.427136,0.00185106
BFB,6.517588,0.00150358
BFB,6.60804,0.00117366
BFB,6.698492,0.00088038
BFB,6.788945,0.00063461
BFB,6.879397,0.0004396
BFB,6.969849,0.00029262
BFB,7.060302,0.00018719
BFB,7.150754,0.00011507
BFB,7.241206,6.797e-05
BFB,7.331658,3.859e-05
BFB,7.422111,2.105e-05
BFB,7.512563,1.103e-05
BFB,7.603015,5.56e-06
BFB,7.693467,2.69e-06
BFB,7.78392,1.25e-06
BFB,7.874372,5.6e-07
BFB,7.964824,2.4e-07
BFB,8.055276,1e-07
BFB,8.145729,4e-08
BFB,8.236181,2e-08
BFB,8.326633,1e-08
BFB,8.417085,0.0
BFB,8.507538,0.0
BFB,8.59799,0.0
BFB,8.688442,0.0
BFB,8.778894,0.0
BFB,8.869347,0.0
BFB,8.959799,0.0
BFB,9.050251,0.0
BFB,9.140704,0.0
BFB,9.231156,0.0
BFB,9.321608,0.0
BFB,9.41206,0.0
BFB,9.502513,0.0
BFB,9.592965,0.0
BFB,9.683417,0.0
BFB,9.773869,0.0
BFB,9.864322,0.0
BFB,9.954774,0.0
BFB,10.045226,0.0
BFB,10.135678,0.0
BFB,10.226131,0.0
BFB,10.316583,0.0
BFB,10.407035,0.0
BFB,10.497487,0.0
BFB,10.58794,0.0
BFB,10.678392,1e-08
BFB,10.768844,2e-08
BFB,10.859296,4e-08
BFB,10.949749,1e-07
BFB,11.040201,2.5e-07
BFB,11.130653,5.9e-07
BFB,11.221106,1.31e-06
BFB,11.311558,2.8e-06
BFB,11.40201,5.78e-06
