Sample name,Classification,Unique Amplicon Count
TCGA-02-2483-01A-01D-1494-08_MN_10A-01D-1494,Complex non-cyclic,1
TCGA-02-2483-01A-01D-1494-08_MN_10A-01D-1494,Linear amplification,1
TCGA-02-2483-01A-01D-1494-08_MN_10A-01D-1494,ecDNA,1
TCGA-02-2485-01A-01D-1494-08_MN_10A-01D-1494,Complex non-cyclic,1
TCGA-02-2485-01A-01D-1494-08_MN_10A-01D-1494,ecDNA,3
TCGA-04-1347-01A-01D-A324-10_MN_11A-01D-A324,Linear amplification,6
TCGA-04-1347-01A-01D-A324-10_MN_11A-01D-A324,ecDNA,1
TCGA-04-1349-01A-01D-A324-10_MN_11A-01D-A324,Complex non-cyclic,2
TCGA-04-1371-01A-01D-0516-08_MN_11A-01D-0516,Complex non-cyclic,2
TCGA-04-1371-01A-01D-0516-08_MN_11A-01D-0516,Linear amplification,1
TCGA-04-1371-01A-01D-0516-08_MN_11A-01D-0516,ecDNA,1
TCGA-04-1514-01A-01D-A324-10_MN_10A-01D-A324,BFB,2
TCGA-04-1514-01A-01D-A324-10_MN_10A-01D-A324,Linear amplification,3
TCGA-04-1542-01A-01D-A312-08_MN_10A-01D-A312,Linear amplification,4
TCGA-05-4250-01A-01D-1103-02_MN_10A-01D-1103,BFB,1
TCGA-05-4250-01A-01D-1103-02_MN_10A-01D-1103,Complex non-cyclic,1
TCGA-05-4250-01A-01D-1103-02_MN_10A-01D-1103,Linear amplification,2
TCGA-05-4384-01A-01D-1751-02_MN_10A-01D-1751,BFB,1
TCGA-05-4389-01A-01D-1931-08_MN_10A-01D-1203,Linear amplification,1
TCGA-05-4389-01A-01D-1931-08_MN_10A-01D-1931,Linear amplification,1
TCGA-05-4390-01A-02D-1751-02_MN_10A-01D-1751,BFB,1
TCGA-05-4390-01A-02D-1751-02_MN_10A-01D-1751,Complex non-cyclic,1
TCGA-05-4395-01A-01D-1203-02_MN_10A-01D-1203,BFB,1
TCGA-05-4395-01A-01D-1203-02_MN_10A-01D-2364,BFB,1
TCGA-05-4395-01A-01D-2364-08_MN_10A-01D-1203,Complex non-cyclic,1
TCGA-05-4395-01A-01D-2364-08_MN_10A-01D-2364,Complex non-cyclic,1
TCGA-05-4396-01A-21D-1853-02_MN_10A-01D-1853,BFB,2
TCGA-05-4396-01A-21D-1853-02_MN_10A-01D-1853,Linear amplification,1
TCGA-05-4396-01A-21D-1853-02_MN_10A-01D-1855,BFB,2
TCGA-05-4396-01A-21D-1853-02_MN_10A-01D-1855,Linear amplification,4
TCGA-05-4396-01A-21D-1855-08_MN_10A-01D-1853,BFB,2
TCGA-05-4396-01A-21D-1855-08_MN_10A-01D-1853,Linear amplification,2
TCGA-05-4396-01A-21D-1855-08_MN_10A-01D-1855,BFB,2
TCGA-05-4396-01A-21D-1855-08_MN_10A-01D-1855,Complex non-cyclic,1
TCGA-05-4396-01A-21D-1855-08_MN_10A-01D-1855,Linear amplification,4
TCGA-05-4397-01A-01D-1931-08_MN_10A-01D-1931,Linear amplification,1
TCGA-05-4398-01A-01D-1931-08_MN_10A-01D-1203,Linear amplification,1
TCGA-05-4398-01A-01D-1931-08_MN_10A-01D-1931,Linear amplification,1
TCGA-05-4402-01A-01D-1203-02_MN_10A-01D-1203,Complex non-cyclic,1
TCGA-05-4402-01A-01D-1203-02_MN_10A-01D-1203,Linear amplification,2
TCGA-05-4405-01A-21D-1853-02_MN_10A-01D-1853,Complex non-cyclic,2
TCGA-05-4417-01A-22D-1853-02_MN_10A-01D-1853,Linear amplification,1
TCGA-05-4420-01A-01D-1203-02_MN_10A-01D-1203,BFB,2
TCGA-05-4422-01A-01D-1931-08_MN_10A-01D-1203,Complex non-cyclic,2
TCGA-05-4422-01A-01D-1931-08_MN_10A-01D-1203,Linear amplification,3
TCGA-05-4422-01A-01D-1931-08_MN_10A-01D-1931,Complex non-cyclic,1
TCGA-05-4422-01A-01D-1931-08_MN_10A-01D-1931,Linear amplification,6
TCGA-05-4426-01A-01D-1203-02_MN_10A-01D-1203,Linear amplification,1
TCGA-05-4432-01A-01D-1203-02_MN_10A-01D-1203,ecDNA,1
TCGA-05-4432-01A-01D-1203-02_MN_10A-01D-1931,Complex non-cyclic,1
TCGA-05-4432-01A-01D-1931-08_MN_10A-01D-1203,Linear amplification,1
TCGA-05-4432-01A-01D-1931-08_MN_10A-01D-1931,Linear amplification,1
TCGA-05-4433-01A-22D-1853-02_MN_10A-01D-1853,Complex non-cyclic,1
TCGA-05-4434-01A-01D-1203-02_MN_10A-01D-1203,Linear amplification,1
TCGA-06-0124-01A-01D-0375-09_MN_10A-01D-0375,Linear amplification,1
TCGA-06-0125-01A-01D-1490-08_MN_10A-01D-1490,ecDNA,1
TCGA-06-0125-02A-11D-2280-08_MN_10A-01D-1490,ecDNA,1
TCGA-06-0128-01A-01D-0572-09_MN_10A-01D-0572,ecDNA,1
TCGA-06-0145-01A-01D-0507-08_MN_10A-01D-0507,ecDNA,2
TCGA-06-0152-01A-02D-0507-08_MN_10A-01D-0507,ecDNA,1
TCGA-06-0152-02A-01D-2280-08_MN_10A-01D-0507,ecDNA,1
TCGA-06-0155-01B-01D-0932-09_MN_10A-01D-0703,ecDNA,2
TCGA-06-0157-01A-01D-1491-08_MN_10A-01D-1491,ecDNA,2
TCGA-06-0185-01A-01D-0507-08_MN_10B-01D-0507,ecDNA,1
TCGA-06-0190-02A-01D-2280-08_MN_10B-01D-A32W,ecDNA,1
TCGA-06-0208-01A-01D-0512-09_MN_10A-01D-0512,ecDNA,1
TCGA-06-0210-01A-01D-1491-08_MN_10A-01D-1491,Linear amplification,1
TCGA-06-0210-01A-01D-1491-08_MN_10A-01D-1491,ecDNA,2
TCGA-06-0210-02A-01D-2280-08_MN_10A-01D-1491,ecDNA,1
TCGA-06-0211-01A-01D-1491-08_MN_10A-01D-1491,ecDNA,2
TCGA-06-0211-02A-02D-2280-08_MN_10A-01D-1491,Complex non-cyclic,1
TCGA-06-0211-02A-02D-2280-08_MN_10A-01D-1491,ecDNA,1
TCGA-06-0214-01A-02D-0512-09_MN_10A-01D-0512,ecDNA,3
TCGA-06-0214-01A-02D-1491-08_MN_10A-01D-1491,ecDNA,3
TCGA-06-0221-01A-01D-A32W-08_MN_10A-01D-A35R,Complex non-cyclic,3
TCGA-06-0221-01A-01D-A32W-08_MN_10A-01D-A35R,Linear amplification,2
TCGA-06-0221-01A-01D-A32W-08_MN_10A-01D-A35R,ecDNA,1
TCGA-06-0221-02A-11D-2280-08_MN_10A-01D-A35R,Complex non-cyclic,1
TCGA-06-0648-01A-01D-0507-08_MN_10A-01D-0507,Complex non-cyclic,1
TCGA-06-0686-01A-01D-1492-08_MN_10A-01D-1492,ecDNA,1
TCGA-06-0744-01A-01D-1492-08_MN_10A-01D-1492,Complex non-cyclic,1
TCGA-06-0744-01A-01D-1492-08_MN_10A-01D-1492,Linear amplification,3
TCGA-06-0744-01A-01D-1492-08_MN_10A-01D-1492,ecDNA,1
TCGA-06-0745-01A-01D-1492-08_MN_10A-01D-1492,ecDNA,1
TCGA-06-0877-01A-01D-0512-09_MN_10A-01D-0512,ecDNA,1
TCGA-06-0881-01A-02D-0512-09_MN_10A-01D-0512,ecDNA,1
TCGA-06-2557-01A-01D-1494-08_MN_10A-01D-1494,Complex non-cyclic,1
TCGA-06-2557-01A-01D-1494-08_MN_10A-01D-1494,Linear amplification,3
TCGA-06-2570-01A-01D-1495-08_MN_10A-01D-1495,ecDNA,1
TCGA-06-5411-01A-01D-1696-08_MN_10A-01D-1696,ecDNA,1
TCGA-06-5415-01A-01D-1486-08_MN_10A-01D-1486,ecDNA,2
TCGA-09-2045-01A-01D-A324-10_MN_11A-01D-A324,Linear amplification,1
TCGA-09-2045-01A-01D-A324-10_MN_11A-01D-A324,ecDNA,1
TCGA-09-2050-01A-01D-A312-08_MN_10A-01D-A312,Linear amplification,1
TCGA-10-0934-01A-02D-A312-08_MN_11A-01D-A312,Linear amplification,2
TCGA-10-0937-01A-02D-A324-10_MN_11A-01D-A324,Linear amplification,1
TCGA-10-0938-01A-02D-A312-08_MN_11A-01D-A312,BFB,1
TCGA-10-0938-01A-02D-A312-08_MN_11A-01D-A312,Linear amplification,4
TCGA-10-0938-01A-02D-A312-08_MN_11A-01D-A312,ecDNA,1
TCGA-13-0723-01A-02D-0447-09_MN_10B-01D-0447,BFB,2
TCGA-13-0723-01A-02D-0447-09_MN_10B-01D-0447,Complex non-cyclic,2
TCGA-13-0723-01A-02D-0447-09_MN_10B-01D-0447,Linear amplification,2
TCGA-13-0723-01A-02D-0447-09_MN_10B-01D-0447,ecDNA,1
TCGA-13-0727-01A-01D-A312-08_MN_10B-01D-A312,Linear amplification,1
TCGA-13-0751-01A-01D-0446-08_MN_10A-01D-0446,Linear amplification,6
TCGA-13-0751-01A-01D-0446-08_MN_10A-01D-0446,ecDNA,1
TCGA-13-0890-01A-01D-0447-09_MN_10A-01D-0447,Linear amplification,1
TCGA-13-0912-01A-01D-A312-08_MN_10A-01D-A312,BFB,2
TCGA-13-0912-01A-01D-A312-08_MN_10A-01D-A312,Linear amplification,1
TCGA-13-1411-01A-01D-0515-09_MN_10A-01D-0515,Linear amplification,3
TCGA-13-1487-01A-01D-A312-08_MN_10A-01D-A312,Linear amplification,3
TCGA-13-1491-01A-01D-A312-08_MN_10A-01D-A312,BFB,2
TCGA-13-1491-01A-01D-A312-08_MN_10A-01D-A312,Linear amplification,2
TCGA-14-0786-01B-01D-0703-09_MN_10A-01D-0703,Linear amplification,1
TCGA-14-1402-01A-01D-1493-08_MN_10A-01D-1493,Linear amplification,4
TCGA-14-1402-01A-01D-1493-08_MN_10A-01D-1493,ecDNA,1
TCGA-14-1402-02A-01D-2280-08_MN_10A-01D-1493,ecDNA,1
TCGA-14-1459-01A-01D-0932-09_MN_10A-01D-0703,BFB,1
TCGA-14-1459-01A-01D-0932-09_MN_10A-01D-0703,ecDNA,2
TCGA-14-1823-01A-01D-1494-08_MN_10A-01D-1494,Complex non-cyclic,1
TCGA-14-1823-01A-01D-1494-08_MN_10A-01D-1494,Linear amplification,2
TCGA-14-2554-01A-01D-1494-08_MN_10A-01D-1494,Linear amplification,1
TCGA-14-2554-01A-01D-1494-08_MN_10A-01D-1494,ecDNA,1
