project,Sample name,n_ecDNA_amplicons
BLCA,TCGA-BL-A0C8-01A-11D-A10R-02_MN_10A-01D-A10R,3
BLCA,TCGA-BL-A0C8-01B-04D-A46W-08_MN_10A-01D-A46W,3
BLCA,TCGA-C4-A0F0-01A-12D-A10R-02_MN_10A-01D-A10R,3
BLCA,TCGA-DK-A1A6-01A-11D-A13U-02_MN_10A-01D-A13U,3
BLCA,TCGA-DK-A1A6-01A-11D-A13W-08_MN_10A-01D-A13U,3
BLCA,TCGA-DK-A1A6-01A-11D-A13W-08_MN_10A-01D-A13W,3
BLCA,TCGA-DK-A1A7-01A-11D-A13U-02_MN_10A-01D-A13U,3
BLCA,TCGA-DK-A1A7-01A-11D-A13U-02_MN_10A-01D-A13W,3
BLCA,TCGA-FD-A3N5-01A-11D-A21C-26_MN_10A-01D-A21A,3
BLCA,TCGA-FD-A3N5-01A-11D-A21C-26_MN_10A-01D-A21C,3
BLCA,TCGA-GV-A3JV-01A-11D-A221-26_MN_10B-01D-A221,3
BLCA,TCGA-BL-A0C8-01A-11D-A10R-02_MN_10A-01D-A46W,2
BLCA,TCGA-BL-A0C8-01A-11D-A46W-08_MN_10A-01D-A10R,2
BLCA,TCGA-BL-A0C8-01A-11D-A46W-08_MN_10A-01D-A46W,2
BLCA,TCGA-BL-A0C8-01B-04D-A46W-08_MN_10A-01D-A10R,2
BLCA,TCGA-BL-A13J-01A-11D-A46W-08_MN_10A-01D-A10R,2
BLCA,TCGA-BL-A13J-01A-11D-A46W-08_MN_10A-01D-A46W,2
BLCA,TCGA-BL-A13J-01A-11D-A46W-08_MN_11A-13D-A10R,2
BLCA,TCGA-C4-A0F7-01A-11D-A10S-08_MN_10A-01D-A10S,2
BLCA,TCGA-DK-A1A6-01A-11D-A13U-02_MN_10A-01D-A13W,2
BLCA,TCGA-DK-A3IM-01A-11D-A210-26_MN_10A-01D-A210,2
BLCA,TCGA-FD-A3N5-01A-11D-A21A-08_MN_10A-01D-A21A,2
BLCA,TCGA-FD-A3N5-01A-11D-A21A-08_MN_10A-01D-A21C,2
BLCA,TCGA-GV-A3QH-01A-11D-A221-26_MN_10A-01D-A221,2
BLCA,TCGA-K4-A3WV-01A-11D-A23Q-26_MN_10A-01D-A23Q,2
BLCA,TCGA-K4-A3WV-01A-11D-A23Q-26_MN_11A-21D-A23Q,2
BLCA,TCGA-BL-A13J-01A-11D-A46W-08_MN_10A-01D-A10S,1
BLCA,TCGA-BT-A20P-01A-11D-A14U-02_MN_11A-11D-A14U,1
BLCA,TCGA-BT-A20P-01A-11D-A14U-02_MN_11A-11D-A14W,1
BLCA,TCGA-BT-A20P-01A-11D-A14W-08_MN_11A-11D-A14U,1
BLCA,TCGA-BT-A20P-01A-11D-A14W-08_MN_11A-11D-A14W,1
BLCA,TCGA-BT-A20Q-01A-11D-A14U-02_MN_11A-11D-A14U,1
BLCA,TCGA-BT-A20Q-01A-11D-A14U-02_MN_11A-11D-A14W,1
BLCA,TCGA-BT-A20Q-01A-11D-A14W-08_MN_11A-11D-A14U,1
BLCA,TCGA-BT-A20R-01A-12D-A16N-02_MN_11A-11D-A16N,1
BLCA,TCGA-BT-A20V-01A-11D-A14W-08_MN_11A-11D-A14W,1
BLCA,TCGA-BT-A2LD-01A-12D-A210-26_MN_10A-01D-A210,1
BLCA,TCGA-BT-A3PJ-01A-21D-A21Z-08_MN_10A-01D-A21Z,1
BLCA,TCGA-BT-A3PJ-01A-21D-A21Z-08_MN_10A-01D-A221,1
BLCA,TCGA-BT-A3PJ-01A-21D-A221-26_MN_10A-01D-A21Z,1
BLCA,TCGA-BT-A3PJ-01A-21D-A221-26_MN_10A-01D-A221,1
BLCA,TCGA-C4-A0F6-01A-11D-A10R-02_MN_10A-01D-A10R,1
BLCA,TCGA-CF-A1HS-01A-11D-A13U-02_MN_10A-01D-A13U,1
BLCA,TCGA-CU-A0YR-01A-12D-A10R-02_MN_10A-01D-A10R,1
BLCA,TCGA-CU-A0YR-01A-12D-A10R-02_MN_11A-13D-A10R,1
BLCA,TCGA-DK-A1A5-01A-11D-A13U-02_MN_10A-01D-A13U,1
BLCA,TCGA-DK-A1A5-01A-11D-A13U-02_MN_10A-01D-A13W,1
BLCA,TCGA-DK-A1A5-01A-11D-A13W-08_MN_10A-01D-A13U,1
BLCA,TCGA-DK-A1A5-01A-11D-A13W-08_MN_10A-01D-A13W,1
BLCA,TCGA-DK-A1A7-01A-11D-A13W-08_MN_10A-01D-A13U,1
BLCA,TCGA-DK-A1A7-01A-11D-A13W-08_MN_10A-01D-A13W,1
BLCA,TCGA-DK-A1AC-01A-11D-A13U-02_MN_10A-01D-A13U,1
BLCA,TCGA-DK-A1AD-01A-11D-A13U-02_MN_10A-01D-A13U,1
BLCA,TCGA-DK-A2I6-01A-12D-A18D-02_MN_10A-01D-A18D,1
BLCA,TCGA-DK-A3IV-01A-22D-A21C-26_MN_10A-01D-A21C,1
BLCA,TCGA-DK-A3WX-01A-22D-A233-26_MN_10A-01D-A233,1
BLCA,TCGA-DK-A3X1-01A-12D-A233-26_MN_10A-01D-A233,1
BLCA,TCGA-FD-A3N6-01A-11D-A21A-08_MN_10A-01D-A21A,1
BLCA,TCGA-FD-A3N6-01A-11D-A21A-08_MN_10A-01D-A21C,1
BLCA,TCGA-FD-A3N6-01A-11D-A21C-26_MN_10A-01D-A21A,1
BLCA,TCGA-FD-A3N6-01A-11D-A21C-26_MN_10A-01D-A21C,1
BLCA,TCGA-FD-A3NA-01A-11D-A21C-26_MN_10A-01D-A21C,1
BLCA,TCGA-FD-A3SM-01A-11D-A233-26_MN_10A-01D-A233,1
BLCA,TCGA-G2-A2EK-01A-22D-A18D-02_MN_10A-01D-A18D,1
BLCA,TCGA-G2-A3VY-01A-11D-A233-26_MN_10A-01D-A233,1
BLCA,TCGA-GC-A3I6-01A-11D-A210-26_MN_10A-01D-A210,1
BLCA,TCGA-GC-A3RD-01A-12D-A233-26_MN_10B-01D-A233,1
BLCA,TCGA-GD-A3OS-01A-12D-A221-26_MN_10A-01D-A221,1
BLCA,TCGA-GV-A3JZ-01A-11D-A21C-26_MN_10A-01D-A21C,1
BLCA,TCGA-GV-A3QF-01A-31D-A233-26_MN_10A-01D-A233,1
BLCA,TCGA-H4-A2HQ-01A-11D-A17R-02_MN_10A-01D-A17R,1
BLCA,TCGA-H4-A2HQ-01A-11D-A17R-02_MN_10A-01D-A17V,1
BLCA,TCGA-H4-A2HQ-01A-11D-A17V-08_MN_10A-01D-A17R,1
BLCA,TCGA-H4-A2HQ-01A-11D-A17V-08_MN_10A-01D-A17V,1
BRCA,TCGA-A7-A13D-01A-13D-A12Q-09_MN_10A-02D-A12Q,7
BRCA,TCGA-AO-A124-01A-11D-A10M-09_MN_10A-01D-A10M,6
BRCA,TCGA-AR-A256-01A-11D-A167-09_MN_10A-01D-A167,6
BRCA,TCGA-A2-A0D0-01A-11D-A128-09_MN_10A-01D-A128,5
BRCA,TCGA-E2-A109-01A-11D-A10M-09_MN_10A-01D-A10M,5
BRCA,TCGA-BH-A18U-01A-21D-A19H-09_MN_11A-23D-A19H,3
BRCA,TCGA-EW-A3U0-01A-11D-A228-09_MN_10A-01D-A22A,3
BRCA,TCGA-A2-A0D1-01A-11D-A19H-09_MN_10A-01D-A19H,2
BRCA,TCGA-A2-A3XX-01A-21D-A23C-09_MN_10A-01D-A23C,2
BRCA,TCGA-A7-A0D9-01A-31D-A060-02_MN_10A-01D-A060,2
BRCA,TCGA-A8-A07I-01A-11D-A19H-09_MN_10A-01D-A19H,2
BRCA,TCGA-AO-A0J2-01A-11D-A19H-09_MN_10A-01D-A19H,2
BRCA,TCGA-AR-A0TU-01A-31D-A106-02_MN_10A-01D-A106,2
BRCA,TCGA-C8-A130-01A-31D-A19H-09_MN_10A-01D-A19H,2
BRCA,TCGA-EW-A1P8-01A-11D-A142-09_MN_10A-01D-A314,2
BRCA,TCGA-EW-A1PC-01B-11D-A21Q-09_MN_10A-01D-A21Q,2
BRCA,TCGA-A2-A04P-01A-31D-A128-09_MN_10A-01D-A128,1
BRCA,TCGA-A2-A04X-01A-21D-A19H-09_MN_10A-01D-A19H,1
BRCA,TCGA-A2-A25B-01A-11D-A167-09_MN_10A-01D-A167,1
BRCA,TCGA-A2-A3KC-01A-11D-A20S-09_MN_10A-01D-A20S,1
BRCA,TCGA-A8-A09I-01A-22D-A19H-09_MN_10A-01D-A19H,1
BRCA,TCGA-AC-A2BK-01A-11D-A314-09_MN_11A-13D-A21Q,1
BRCA,TCGA-AN-A0G0-01A-11D-A045-09_MN_10A-01D-A047,1
BRCA,TCGA-AN-A0XR-01A-11D-A10G-09_MN_10A-01D-A10G,1
BRCA,TCGA-AO-A0JL-01A-11D-A060-02_MN_10A-01D-A060,1
BRCA,TCGA-AO-A0JM-01A-21D-A19H-09_MN_10A-01D-A19H,1
BRCA,TCGA-AR-A24Z-01A-11D-A314-09_MN_10A-01D-A167,1
BRCA,TCGA-AR-A2LK-01A-11D-A17W-09_MN_10A-01D-A17W,1
BRCA,TCGA-B6-A0I1-01A-11D-A21Q-09_MN_10A-01D-A21Q,1
BRCA,TCGA-B6-A0RG-01A-11D-A060-02_MN_10A-01D-A060,1
BRCA,TCGA-BH-A0HB-01A-11D-A060-02_MN_10A-01D-A060,1
BRCA,TCGA-BH-A0HX-01A-21D-A060-02_MN_10A-02D-A060,1
BRCA,TCGA-BH-A18R-01A-11D-A19H-09_MN_11A-42D-A19H,1
BRCA,TCGA-C8-A12Q-01A-11D-A19H-09_MN_10A-01D-A19H,1
BRCA,TCGA-E2-A14P-01A-31D-A19H-09_MN_10A-01D-A19H,1
BRCA,TCGA-E2-A1LG-01A-21D-A14K-09_MN_11A-42D-A14K,1
BRCA,TCGA-E2-A1LK-01A-21D-A14G-09_MN_11A-12D-A314,1
BRCA,TCGA-E2-A1LL-01A-11D-A142-09_MN_11A-21D-A314,1
BRCA,TCGA-EW-A1J5-01A-11D-A13L-09_MN_10A-01D-A13O,1
BRCA,TCGA-EW-A1PH-01A-11D-A17G-09_MN_10A-01D-A17G,1
BRCA,TCGA-GM-A2DF-01A-11D-A17W-09_MN_10C-01D-A17W,1
BRCA,TCGA-GM-A3XL-01A-11D-A22X-09_MN_10A-01D-A22X,1
CESC,TCGA-C5-A2LY-01A-31D-A18J-09_MN_10A-01D-A18J,2
