Sample name,project,AA amplicon number,Feature ID,Classification,Location,Oncogenes,All genes,Complexity score,Captured interval length,Feature median copy number,Feature maximum copy number,Filter flag,Reference version
TCGA-02-2483-01A-01D-1494-08_MN_10A-01D-1494,GBM,2.0,TCGA-02-2483-01A-01D-1494-08_MN_10A-01D-1494_amplicon2_ecDNA_1,ecDNA,"['10:103336109-103417200', '10:128766000-128800621']",[],"['DPCD', 'POLL']",0.184699217,115712.0,30.30823591,30.66577908,,GRCh37
TCGA-02-2485-01A-01D-1494-08_MN_10A-01D-1494,GBM,1.0,TCGA-02-2485-01A-01D-1494-08_MN_10A-01D-1494_amplicon1_ecDNA_1,ecDNA,['1:242151315-245799541'],[],"['ADSS', 'AKT3', 'C1orf100', 'C1orf101', 'CEP170', 'EFCAB2', 'FAM36A', 'HNRNPU', 'KIF26B', 'MAP1LC3C', 'NCRNA00201', 'PLD5', 'PPPDE1', 'SDCCAG8', 'ZNF238']",0.660664255,3648226.0,33.65641359,34.3318669,,GRCh37
TCGA-02-2485-01A-01D-1494-08_MN_10A-01D-1494,GBM,2.0,TCGA-02-2485-01A-01D-1494-08_MN_10A-01D-1494_amplicon2_ecDNA_1,ecDNA,['4:54728156-55740489'],"['CHIC2', 'KIT', 'PDGFRA']","['CHIC2', 'GSX2', 'KIT', 'PDGFRA', 'RPL21P44']",0.280081887,1012333.0,41.28877905,43.49090335,,GRCh37
TCGA-02-2485-01A-01D-1494-08_MN_10A-01D-1494,GBM,4.0,TCGA-02-2485-01A-01D-1494-08_MN_10A-01D-1494_amplicon4_ecDNA_1,ecDNA,['12:57638477-59710996'],"['AGAP2', 'CDK4', 'DDIT3', 'GLI1', 'LRIG3']","['AGAP2', 'ARHGAP9', 'AVIL', 'B4GALNT1', 'CDK4', 'CTDSP2', 'CYP27B1', 'DCTN2', 'DDIT3', 'DTX3', 'FAM119B', 'GEFT', 'GLI1', 'INHBC', 'INHBE', 'KIF5A', 'LRIG3', 'MARCH9', 'MARS', 'MBD6', 'METTL1', 'OS9', 'PIP4K2C', 'R3HDM2', 'SLC26A10', 'STAC3', 'TSFM', 'TSPAN31', 'XRCC6BP1']",0.366086324,2072519.0,13.17171473,24.42149529,,GRCh37
TCGA-04-1347-01A-01D-A324-10_MN_11A-01D-A324,OV,4.0,TCGA-04-1347-01A-01D-A324-10_MN_11A-01D-A324_amplicon4_ecDNA_1,ecDNA,['6:57033567-57275280'],['RAB23'],"['BAG2', 'PRIM2', 'RAB23']",0.252597506,241713.0,9.805119432,16.34458771,,GRCh37
TCGA-04-1371-01A-01D-0516-08_MN_11A-01D-0516,OV,2.0,TCGA-04-1371-01A-01D-0516-08_MN_11A-01D-0516_amplicon2_ecDNA_1,ecDNA,['8:98671579-99044917'],['LAPTM4B'],"['LAPTM4B', 'MATN2']",0.303665131,373338.0,10.41569446,10.41569446,,GRCh37
TCGA-05-4432-01A-01D-1203-02_MN_10A-01D-1203,LUAD,1.0,TCGA-05-4432-01A-01D-1203-02_MN_10A-01D-1203_amplicon1_ecDNA_1,ecDNA,"['5:14838476-15411507', '5:15412080-15426662']",[],['ANKH'],0.238364284,587613.0,5.84578432,6.13001547,LowCN,GRCh37
TCGA-06-0125-01A-01D-1490-08_MN_10A-01D-1490,GBM,1.0,TCGA-06-0125-01A-01D-1490-08_MN_10A-01D-1490_amplicon1_ecDNA_1,ecDNA,['7:54757847-55383834'],['EGFR'],"['EGFR', 'SEC61G']",0.143954321,625987.0,79.89829701,79.89829701,,GRCh37
TCGA-06-0125-02A-11D-2280-08_MN_10A-01D-1490,GBM,1.0,TCGA-06-0125-02A-11D-2280-08_MN_10A-01D-1490_amplicon1_ecDNA_1,ecDNA,['7:54757847-55383834'],['EGFR'],"['EGFR', 'SEC61G']",0.249813885,625987.0,39.92708799,39.92708799,,GRCh37
TCGA-06-0128-01A-01D-0572-09_MN_10A-01D-0572,GBM,1.0,TCGA-06-0128-01A-01D-0572-09_MN_10A-01D-0572_amplicon1_ecDNA_1,ecDNA,['12:58074283-58629028'],"['AGAP2', 'CDK4']","['AGAP2', 'AVIL', 'CDK4', 'CTDSP2', 'CYP27B1', 'FAM119B', 'MARCH9', 'METTL1', 'OS9', 'TSFM', 'TSPAN31', 'XRCC6BP1']",0.505416373,554745.0,25.47887057,25.47887057,,GRCh37
TCGA-06-0145-01A-01D-0507-08_MN_10A-01D-0507,GBM,1.0,TCGA-06-0145-01A-01D-0507-08_MN_10A-01D-0507_amplicon1_ecDNA_1,ecDNA,['7:54706317-55495637'],['EGFR'],"['EGFR', 'LANCL2', 'SEC61G']",0.170358042,789320.0,160.81278,214.1855101,,GRCh37
TCGA-06-0145-01A-01D-0507-08_MN_10A-01D-0507,GBM,2.0,TCGA-06-0145-01A-01D-0507-08_MN_10A-01D-0507_amplicon2_ecDNA_1,ecDNA,"['12:57792095-58576272', '17:66321668-66321809']","['AGAP2', 'CDK4', 'DDIT3', 'GLI1']","['AGAP2', 'ARHGAP9', 'AVIL', 'B4GALNT1', 'CDK4', 'CTDSP2', 'CYP27B1', 'DCTN2', 'DDIT3', 'DTX3', 'FAM119B', 'GEFT', 'GLI1', 'INHBC', 'INHBE', 'KIF5A', 'MARCH9', 'MARS', 'MBD6', 'METTL1', 'OS9', 'PIP4K2C', 'SLC26A10', 'TSFM', 'TSPAN31', 'XRCC6BP1']",0.236777996,784318.0,12.92331915,13.91278319,,GRCh37
TCGA-06-0152-01A-02D-0507-08_MN_10A-01D-0507,GBM,1.0,TCGA-06-0152-01A-02D-0507-08_MN_10A-01D-0507_amplicon1_ecDNA_1,ecDNA,"['7:54446166-55369482', '12:62550197-62555831', '12:62560268-62560565']",['EGFR'],"['EGFR', 'SEC61G', 'VSTM2A']",0.356221903,929247.0,152.2235,186.7810694,,GRCh37
TCGA-06-0152-01A-02D-0507-08_MN_10A-01D-0507,GBM,1.0,TCGA-06-0152-01A-02D-0507-08_MN_10A-01D-0507_amplicon1_ecDNA_2,ecDNA,"['12:64539124-64711727', '12:65601156-65638487', '12:69136860-69267981', '12:69760798-70045140']",['MDM2'],"['C12orf66', 'CCT2', 'FRS2', 'LRRC10', 'MDM2', 'SLC35E3']",0.724112664,625397.0,105.9225165,197.4075433,,GRCh37
TCGA-06-0152-02A-01D-2280-08_MN_10A-01D-0507,GBM,1.0,TCGA-06-0152-02A-01D-2280-08_MN_10A-01D-0507_amplicon1_ecDNA_1,ecDNA,['7:54626315-55585818'],['EGFR'],"['EGFR', 'LANCL2', 'SEC61G']",0.466599682,959503.0,85.62302375,90.2376522,,GRCh37
TCGA-06-0155-01B-01D-0932-09_MN_10A-01D-0703,GBM,1.0,TCGA-06-0155-01B-01D-0932-09_MN_10A-01D-0703_amplicon1_ecDNA_1,ecDNA,['4:53321712-56048136'],"['CHIC2', 'FIP1L1', 'KDR', 'KIT', 'PDGFRA']","['CHIC2', 'FIP1L1', 'GSX2', 'KDR', 'KIAA0114', 'KIT', 'LNX1', 'PDGFRA', 'RASL11B', 'RPL21P44', 'SCFD2', 'SNORA26', 'USP46']",0.366158711,2726424.0,5.553696534,5.553696534,LowCN,GRCh37
