Sample name,project,AA amplicon number,Feature ID,Classification,Location,Oncogenes,All genes,Complexity score,Captured interval length,Feature median copy number,Feature maximum copy number,Filter flag,Reference version
TCGA-02-2483-01A-01D-1494-08_MN_10A-01D-1494,GBM,1.0,TCGA-02-2483-01A-01D-1494-08_MN_10A-01D-1494_amplicon1_Complex non-cyclic_1,Complex non-cyclic,"['10:65055519-65183699', '10:70558322-70692439', '10:74024017-74027063', '10:74131682-74253899', '10:102966916-102979753', '10:108287100-108334148', '10:121052199-121157547', '10:126142150-126242099', '10:127557626-127731165', '10:130788464-130798538', '10:131566276-131592127', '1:9688115-9881194']",[],"['C1orf200', 'DDX50', 'DHX32', 'FANK1', 'LHPP', 'PIK3CD', 'STOX1']",1.786556388,1055285.0,25.33476885,45.36000883,,GRCh37
TCGA-02-2483-01A-01D-1494-08_MN_10A-01D-1494,GBM,2.0,TCGA-02-2483-01A-01D-1494-08_MN_10A-01D-1494_amplicon2_ecDNA_1,ecDNA,"['10:103336109-103417200', '10:128766000-128800621']",[],"['DPCD', 'POLL']",0.184699217,115712.0,30.30823591,30.66577908,,GRCh37
TCGA-02-2483-01A-01D-1494-08_MN_10A-01D-1494,GBM,3.0,TCGA-02-2483-01A-01D-1494-08_MN_10A-01D-1494_amplicon3_Linear amplification_1 ,Linear amplification,['10:123243000-123363077'],['FGFR2'],['FGFR2'],0.32050985,120077.0,30.04941762,30.04941762,,GRCh37
TCGA-02-2485-01A-01D-1494-08_MN_10A-01D-1494,GBM,1.0,TCGA-02-2485-01A-01D-1494-08_MN_10A-01D-1494_amplicon1_ecDNA_1,ecDNA,['1:242151315-245799541'],[],"['ADSS', 'AKT3', 'C1orf100', 'C1orf101', 'CEP170', 'EFCAB2', 'FAM36A', 'HNRNPU', 'KIF26B', 'MAP1LC3C', 'NCRNA00201', 'PLD5', 'PPPDE1', 'SDCCAG8', 'ZNF238']",0.660664255,3648226.0,33.65641359,34.3318669,,GRCh37
TCGA-02-2485-01A-01D-1494-08_MN_10A-01D-1494,GBM,2.0,TCGA-02-2485-01A-01D-1494-08_MN_10A-01D-1494_amplicon2_ecDNA_1,ecDNA,['4:54728156-55740489'],"['CHIC2', 'KIT', 'PDGFRA']","['CHIC2', 'GSX2', 'KIT', 'PDGFRA', 'RPL21P44']",0.280081887,1012333.0,41.28877905,43.49090335,,GRCh37
TCGA-02-2485-01A-01D-1494-08_MN_10A-01D-1494,GBM,3.0,TCGA-02-2485-01A-01D-1494-08_MN_10A-01D-1494_amplicon3_Complex non-cyclic_1,Complex non-cyclic,"['7:38757083-38777670', '7:47731827-47742413', '7:49015706-50360399', '7:50413800-56446499']","['EGFR', 'IKZF1']","['C7orf72', 'CCT6A', 'CHCHD2', 'COBL', 'DDC', 'EGFR', 'FIGNL1', 'FKBP9L', 'GBAS', 'GRB10', 'HPVC1', 'IKZF1', 'LANCL2', 'MRPS17', 'PHKG1', 'POM121L12', 'PSPH', 'SEC61G', 'SEPT14', 'SNORA15', 'SUMF2', 'VOPP1', 'VSTM2A', 'VWC2', 'ZNF713', 'ZPBP']",1.535255941,7408565.0,6.787723731,82.29923786,,GRCh37
TCGA-02-2485-01A-01D-1494-08_MN_10A-01D-1494,GBM,4.0,TCGA-02-2485-01A-01D-1494-08_MN_10A-01D-1494_amplicon4_ecDNA_1,ecDNA,['12:57638477-59710996'],"['AGAP2', 'CDK4', 'DDIT3', 'GLI1', 'LRIG3']","['AGAP2', 'ARHGAP9', 'AVIL', 'B4GALNT1', 'CDK4', 'CTDSP2', 'CYP27B1', 'DCTN2', 'DDIT3', 'DTX3', 'FAM119B', 'GEFT', 'GLI1', 'INHBC', 'INHBE', 'KIF5A', 'LRIG3', 'MARCH9', 'MARS', 'MBD6', 'METTL1', 'OS9', 'PIP4K2C', 'R3HDM2', 'SLC26A10', 'STAC3', 'TSFM', 'TSPAN31', 'XRCC6BP1']",0.366086324,2072519.0,13.17171473,24.42149529,,GRCh37
TCGA-04-1347-01A-01D-A324-10_MN_11A-01D-A324,OV,1.0,TCGA-04-1347-01A-01D-A324-10_MN_11A-01D-A324_amplicon1_Linear amplification_1,Linear amplification,['1:161484320-161538199'],[],"['FCGR3A', 'HSPA6']",0.0,53879.0,8.599434783,8.599434783,,GRCh37
TCGA-04-1347-01A-01D-A324-10_MN_11A-01D-A324,OV,2.0,TCGA-04-1347-01A-01D-A324-10_MN_11A-01D-A324_amplicon2_Linear amplification_1,Linear amplification,"['6:57575153-57595909', '5:21508571-21674617']",[],[],0.690943699,186802.0,2.385084705,9.556258032,,GRCh37
TCGA-04-1347-01A-01D-A324-10_MN_11A-01D-A324,OV,3.0,TCGA-04-1347-01A-01D-A324-10_MN_11A-01D-A324_amplicon3_Linear amplification_1,Linear amplification,"['6:56073340-56418343', '6:58139395-58191491']",[],['COL21A1'],0.826038308,397099.0,6.902806175,7.616071197,,GRCh37
TCGA-04-1347-01A-01D-A324-10_MN_11A-01D-A324,OV,4.0,TCGA-04-1347-01A-01D-A324-10_MN_11A-01D-A324_amplicon4_ecDNA_1,ecDNA,['6:57033567-57275280'],['RAB23'],"['BAG2', 'PRIM2', 'RAB23']",0.252597506,241713.0,9.805119432,16.34458771,,GRCh37
TCGA-04-1347-01A-01D-A324-10_MN_11A-01D-A324,OV,5.0,TCGA-04-1347-01A-01D-A324-10_MN_11A-01D-A324_amplicon5_Linear amplification_1,Linear amplification,['6:84550302-86505569'],[],"['CYB5R4', 'KIAA1009', 'MRAP2', 'NT5E', 'RIPPLY2', 'SNHG5', 'SNORD50A', 'SNORD50B', 'SNX14', 'SYNCRIP', 'TBX18']",0.684170378,1955267.0,5.183675279,5.183675279,,GRCh37
TCGA-04-1347-01A-01D-A324-10_MN_11A-01D-A324,OV,6.0,TCGA-04-1347-01A-01D-A324-10_MN_11A-01D-A324_amplicon6_Linear amplification_1,Linear amplification,"['6:106032665-108031336', '6:108032400-110952974']",['PRDM1'],"['AIM1', 'AKD1', 'ARMC2', 'ATG5', 'BEND3', 'C6orf182', 'C6orf186', 'C6orf203', 'CCDC162', 'CD164', 'CDC40', 'DDO', 'FIG4', 'FOXO3', 'GPR6', 'LACE1', 'MICAL1', 'NCRNA00222', 'NR2E1', 'OSTM1', 'PDSS2', 'PPIL6', 'PRDM1', 'QRSL1', 'RTN4IP1', 'SCML4', 'SEC63', 'SESN1', 'SLC22A16', 'SMPD2', 'SNX3', 'SOBP', 'WASF1', 'ZBTB24']",0.250551118,4919245.0,6.849459326,6.849459326,,GRCh37
TCGA-04-1347-01A-01D-A324-10_MN_11A-01D-A324,OV,7.0,TCGA-04-1347-01A-01D-A324-10_MN_11A-01D-A324_amplicon7_Linear amplification_1,Linear amplification,['14:26288218-26696126'],[],[],0.367417921,407908.0,6.007079473,6.007079473,,GRCh37
TCGA-04-1349-01A-01D-A324-10_MN_11A-01D-A324,OV,1.0,TCGA-04-1349-01A-01D-A324-10_MN_11A-01D-A324_amplicon1_Complex non-cyclic_1,Complex non-cyclic,"['8:33584583-33830217', '8:35054230-37050885', '8:37051847-42092001']","['ADAM9', 'BRF2', 'DDHD2', 'FGFR1', 'LSM1', 'MYST3', 'WHSC1L1', 'ZNF703']","['ADAM18', 'ADAM2', 'ADAM32', 'ADAM3A', 'ADAM5P', 'ADAM9', 'ADRB3', 'AGPAT6', 'ANK1', 'AP3M2', 'ASH2L', 'BAG4', 'BRF2', 'C8orf4', 'C8orf86', 'DDHD2', 'EIF4EBP1', 'ERLIN2', 'FGFR1', 'GINS4', 'GOLGA7', 'GOT1L1', 'GPR124', 'HTRA4', 'IDO1', 'IDO2', 'KCNU1', 'LETM2', 'LSM1', 'MYST3', 'NKX6-3', 'PLAT', 'PLEKHA2', 'PPAPDC1B', 'PROSC', 'RAB11FIP1', 'SFRP1', 'STAR', 'TACC1', 'TM2D2', 'UNC5D', 'WHSC1L1', 'ZMAT4', 'ZNF703']",0.536499589,7282443.0,5.241249485,5.944665998,,GRCh37
TCGA-04-1349-01A-01D-A324-10_MN_11A-01D-A324,OV,2.0,TCGA-04-1349-01A-01D-A324-10_MN_11A-01D-A324_amplicon2_Complex non-cyclic_1,Complex non-cyclic,"['19:10215019-10886447', '19:12870965-13778340', '19:15760106-15888514', '19:16008263-16019021', '19:16468339-17687272', '19:19840149-19925994']","['CALR', 'DNM2', 'JUNB', 'LYL1']","['ABHD8', 'ANKLE1', 'ANO8', 'AP1M2', 'ATG4D', 'BST2', 'C19orf42', 'C19orf44', 'C19orf62', 'CACNA1A', 'CALR', 'CALR3', 'CDC37', 'CDKN2D', 'CHERP', 'CPAMD8', 'CYP4F12', 'CYP4F2', 'DAND5', 'DDA1', 'DNASE2', 'DNM2', 'DNMT1', 'EIF3G', 'EPS15L1', 'F2RL3', 'FAM125A', 'FAM129C', 'FARSA', 'FDX1L', 'GADD45GIP1', 'GCDH', 'GLT25D1', 'GTPBP3', 'HAUS8', 'HOOK2', 'ICAM1', 'ICAM3', 'ICAM4', 'ICAM5', 'IER2', 'ILF3', 'JUNB', 'KEAP1', 'KLF1', 'KRI1', 'LYL1', 'MAST1', 'MED26', 'MRPL34', 'MRPL4', 'MYO9B', 'NACC1', 'NFIX', 'NR2F6', 'NWD1', 'NXNL1', 'OCEL1', 'OR10H2', 'OR10H3', 'P2RY11', 'PDE4A', 'PGLS', 'PLVAP', 'PPAN', 'PPAN-P2RY11', 'PRDX2', 'QTRT1', 'RAD23A', 'RAVER1', 'RNASEH2A', 'RTBDN', 'S1PR2', 'S1PR5', 'SIN3B', 'SLC27A1', 'SLC35E1', 'SLC44A2', 'SNORD105', 'SNORD105B', 'STX10', 'SYCE2', 'TMEM221', 'TMEM38A', 'TRMT1', 'TYK2', 'USE1', 'USHBP1', 'ZGLP1', 'ZNF14']",1.453498416,3022747.0,4.589182575,5.606659303,,GRCh37
